keyword,date
company,2020-01-16
company,2019-11-05
company,2020-02-17
company,2020-01-14
company,2019-10-28
podcast,2019-12-06
programming,2019-09-02
company,2019-09-03
company,2019-09-12
company,2019-09-13
company,2019-09-16
company,2019-09-17
company,2019-09-18
company,2019-09-19
company,2019-09-20
company,2019-09-23
company,2019-09-25
company,2019-09-26
company,2019-09-27
company,2019-09-30
company,2019-10-01
company,2019-10-02
company,2019-10-03
company,2019-10-04
company,2019-10-08
company,2019-10-10
company,2019-10-11
company,2019-10-14
company,2019-10-15
programming,2019-10-16
company,2019-10-17
company,2019-10-18
company,2019-10-21
programming,2019-10-22
company,2019-10-23
company,2019-10-24
company,2019-10-28
company,2019-10-31
company,2019-11-01
company,2019-11-06
company,2019-11-07
company,2019-11-08
company,2019-11-10
company,2019-11-12
company,2019-11-13
company,2019-11-14
company,2019-11-15
company,2019-11-18
company,2019-11-19
company,2019-11-21
company,2019-11-22
company,2019-11-25
company,2019-11-26
programming,2019-11-27
data,2019-12-03
company,2019-12-04
company,2019-12-05
company,2019-12-06
programming,2019-12-13
company,2019-12-17
company,2019-12-20
company,2019-12-31
company,2020-01-01
company,2020-01-03
company,2020-01-06
company,2020-01-07
company,2020-01-08
company,2020-01-09
company,2020-01-10
company,2020-01-13
company,2020-01-14
company,2020-01-15
company,2020-01-16
company,2020-01-18
company,2020-01-21
company,2020-01-22
company,2020-01-23
podcast,2020-01-24
company,2020-01-25
company,2020-01-27
company,2020-01-29
company,2020-01-30
company,2020-01-31
company,2020-02-03
company,2020-02-05
company,2020-02-06
company,2020-02-08
company,2020-02-10
company,2020-02-11
company,2020-02-12
podcast,2020-02-13
company,2020-02-14
company,2020-02-18
company,2020-02-20
company,2020-02-21
company,2020-02-25
company,2020-02-26
company,2020-02-27
company,2020-01-13
programming,2019-12-04
company,2019-10-09
data,2019-11-08
company,2020-02-25
company,2020-01-28
programming,2019-09-03
company,2019-09-09
programming,2019-09-10
company,2019-09-12
company,2019-09-13
company,2019-09-16
company,2019-09-18
programming,2019-09-19
company,2019-09-21
company,2019-09-23
company,2019-10-07
company,2019-10-13
company,2019-11-18
company,2020-01-22
company,2020-01-23
company,2020-02-03
company,2019-09-03
company,2019-11-28
company,2019-12-06
company,2019-12-18
company,2019-12-19
company,2019-12-22
company,2019-12-30
codebase,2020-01-06
company,2020-01-08
company,2020-01-26
company,2020-02-03
company,2020-02-17
company,2019-10-17
programming,2019-09-02
company,2019-11-03
