date,exit_page_path,page_depth,exits,exit_rate,avg_session_duration
2019-09-01,//da-announcement,1,2,25,68.5
2019-09-01,/about,13,1,100,0
2019-09-01,/blog,2,2,100,0
2019-09-01,/blog,3,1,16.666666666666664,152
2019-09-01,//da-announcement,5,1,14.285714285714285,1723
2019-09-01,/courses,6,1,100,0
2019-09-01,/events,1,1,50,22
2019-09-01,/events,2,1,100,0
2019-09-01,/courses,3,3,100,0
2019-09-01,//da-announcement,5,1,16.666666666666664,24
2019-09-01,/courses,2,1,50,29
2019-09-01,/courses,2,1,16.666666666666664,81
2019-09-01,//da-announcement,4,7,50,38.857142857142854
2019-09-01,/courses,1,2,33.33333333333333,17.5
2019-09-01,/about,6,1,100,0
2019-09-01,/events,1,1,50,45
2019-09-01,/courses,2,4,100,0
2019-09-01,/blog,1,1,50,8
2019-09-01,/blog,1,1,100,0
2019-09-01,/courses,1,2,100,0
2019-09-01,/courses,2,3,100,0
2019-09-01,/courses,2,1,33.33333333333333,26
2019-09-01,/courses,19,2,50,27.5
2019-09-01,/blog,1,1,100,0
2019-09-01,/about,1,1,33.33333333333333,84
2019-09-01,/courses,1,1,10,1439
2019-09-01,/courses,1,1,33.33333333333333,32
2019-09-01,/courses,1,1,33.33333333333333,1360
2019-09-01,/events,1,1,12.5,1181
2019-09-01,/courses,1,1,20,89
2019-09-01,/events,1,2,50,129.5
2019-09-01,/events,12,1,33.33333333333333,25
2019-09-01,/digital-careers,1,1,33.33333333333333,53
2019-09-01,/courses,1,2,50,127
2019-09-01,/about,1,3,50,21.333333333333332
2019-09-01,/glasgow,1,2,33.33333333333333,124
2019-09-01,//da-announcement,11,4,100,0
2019-09-01,/courses,2,1,20,100
2019-09-01,/courses,3,1,25,159
2019-09-01,/courses,4,1,50,60
2019-09-01,/blog,6,2,100,0
2019-09-01,/admissions-track,7,1,25,149
2019-09-01,//da-announcement,3,5,50,37
2019-09-01,/about,4,1,10,470
2019-09-01,/blog,2,1,100,0
2019-09-01,/courses,5,1,100,0
2019-09-01,/courses,9,2,100,0
2019-09-01,/courses,1,1,25,82
2019-09-01,/pre-course-work,1,8,100,0
2019-09-01,/courses,2,1,16.666666666666664,18
2019-09-01,/courses,3,1,14.285714285714285,1858
2019-09-01,/courses,4,1,20,135
2019-09-01,/blog,6,1,7.142857142857142,844
2019-09-01,/courses,7,2,50,24
2019-09-01,/blog,3,1,100,0
2019-09-01,/blog,5,1,100,0
2019-09-01,/courses,9,1,33.33333333333333,40
2019-09-01,/events,1,1,33.33333333333333,66
2019-09-01,/courses,2,1,100,0
2019-09-01,/for-employers,3,1,50,35
2019-09-01,/events,8,2,100,0
2019-09-01,/courses,1,6,25,240.45454545454547
2019-09-01,/blog,2,4,100,0
2019-09-01,/blog,3,1,20,224
2019-09-01,/blog,1,1,100,0
2019-09-01,/courses,1,1,100,0
2019-09-01,/courses,4,3,100,0
2019-09-01,/courses,5,2,33.33333333333333,29
2019-09-01,/courses,6,1,20,606
2019-09-01,/digital-careers,7,1,100,0
2019-09-01,/blog,1,1,100,0
2019-09-01,/blog,1,2,100,0
2019-09-01,/courses,1,2,50,19.5
2019-09-01,/about,3,2,33.33333333333333,88.5
2019-09-01,/courses,2,1,100,0
2019-09-01,/courses,1,2,20,177.5
2019-09-01,/pre-course-work,14,1,33.33333333333333,4
2019-09-01,/courses,2,1,20,116
2019-09-01,/courses,3,2,100,0
2019-09-01,/blog,4,2,100,0
2019-09-01,/blog,5,2,100,0
2019-09-01,/admissions-track,6,1,100,0
2019-09-01,/courses,7,1,14.285714285714285,256
2019-09-01,/blog,1,1,100,0
2019-09-01,/courses,2,1,50,1360
2019-09-01,/edinburgh,24,1,100,0
2019-09-01,/edinburgh,4,1,100,0
2019-09-01,/courses,2,1,33.33333333333333,45
2019-09-01,/about,1,1,50,4
2019-09-01,//da-announcement,2,1,14.285714285714285,554
2019-09-01,/for-employers,7,1,20,59
2019-09-01,/blog,2,1,50,170
2019-09-01,/courses,5,1,14.285714285714285,200
2019-09-01,/courses,10,9,100,0
2019-09-01,/courses,5,1,50,37
2019-09-01,/for-employers,1,1,25,147
2019-09-01,/courses,11,5,100,0
2019-09-01,/courses,1,1,16.666666666666664,313
2019-09-01,/blog,3,1,100,0
2019-09-01,/events,5,1,33.33333333333333,403
2019-09-01,/digital-careers,6,1,100,0
2019-09-01,/blog,7,1,3.8461538461538463,571
2019-09-01,/blog,1,1,100,0
2019-09-01,/digital-careers,3,1,20,73
2019-09-01,//da-announcement,1,1,9.090909090909092,2288
2019-09-01,/glasgow,1,1,14.285714285714285,1419
2019-09-01,/blog,1,2,100,0
2019-09-01,/courses,2,1,50,87
2019-09-01,/courses,3,1,33.33333333333333,83
2019-09-01,/courses,1,1,14.285714285714285,305
2019-09-01,/about,14,1,33.33333333333333,45
2019-09-01,/courses,6,1,100,0
2019-09-01,/store,12,1,100,0
2019-09-01,/blog,2,1,50,1448
2019-09-01,/blog,4,1,50,52
2019-09-01,/courses,2,2,25,57.5
2019-09-01,/for-employers,1,1,100,0
2019-09-01,/pre-course-work,1,1,33.33333333333333,7
2019-09-01,/pre-course-work,2,6,50,330.8333333333333
2019-09-01,/events,3,13,100,0
2019-09-01,/edinburgh,1,2,20,196
2019-09-01,/blog,16,1,50,1
2019-09-01,//da-announcement,1,1,100,0
2019-09-01,/blog,2,1,100,0
2019-09-01,/courses,5,1,12.5,713
2019-09-02,/about,1,1,50,10
2019-09-02,/black-friday-lottery,2,1,100,0
2019-09-02,/courses,3,3,25,46
2019-09-02,/blog,4,1,100,0
2019-09-02,/blog,5,1,100,0
2019-09-02,/courses,6,1,16.666666666666664,115
2019-09-02,/courses,9,1,12.5,633
2019-09-02,/blog,1,1,50,27
2019-09-02,//da-announcement,2,2,25,104.5
2019-09-02,/digital-careers,4,1,16.666666666666664,178
2019-09-02,/events,5,1,33.33333333333333,63
2019-09-02,/blog,2,1,7.6923076923076925,765
2019-09-02,/courses,3,1,20,382
2019-09-02,/courses,1,1,10,429
2019-09-02,/edinburgh,2,1,16.666666666666664,60
2019-09-02,/pre-course-work,4,2,100,0
2019-09-02,/courses,7,1,25,212
2019-09-02,/glasgow,1,2,100,0
2019-09-02,/courses,3,1,50,36
2019-09-02,/events,1,1,20,137
2019-09-02,/courses,15,1,20,690
2019-09-02,/courses,5,1,25,34
2019-09-02,/courses,1,1,33.33333333333333,36
2019-09-02,/for-employers,2,1,20,76
2019-09-02,/about,4,1,50,49
2019-09-02,/courses,1,1,25,393
2019-09-02,//da-announcement,12,1,11.11111111111111,2631
2019-09-02,/for-employers,1,1,20,50
2019-09-02,/admissions-track,1,2,25,796.5
2019-09-02,/about,3,1,33.33333333333333,84
2019-09-02,/blog,1,2,100,0
2019-09-02,//da-announcement,1,1,100,0
2019-09-02,/courses,2,1,16.666666666666664,1735
2019-09-02,/pre-course-work,1,6,100,0
2019-09-02,/blog,1,1,100,0
2019-09-02,/blog,2,1,100,0
2019-09-02,/courses,1,1,25,59
2019-09-02,/courses,1,1,25,390
2019-09-02,/glasgow,2,1,50,33
2019-09-02,/glasgow,4,1,100,0
2019-09-02,/courses,1,2,33.33333333333333,118
2019-09-02,/courses,13,1,100,0
2019-09-02,/courses,12,2,33.33333333333333,95.5
2019-09-02,/blog,1,1,100,0
2019-09-02,/blog,1,6,100,0
2019-09-02,/store,1,2,100,0
2019-09-02,/courses,1,1,20,94
2019-09-02,/courses,9,2,33.33333333333333,42
2019-09-02,/admissions-track,1,1,25,2878
2019-09-02,/events,2,1,12.5,377
2019-09-02,/courses,1,1,100,0
2019-09-02,/blog,1,1,100,0
2019-09-02,/courses,1,2,100,0
2019-09-02,/glasgow,2,1,8.333333333333332,215
2019-09-02,/events,1,3,33.33333333333333,109.33333333333333
2019-09-02,/edinburgh,3,1,50,1318
2019-09-02,/blog,14,1,100,0
2019-09-02,/about,1,1,33.33333333333333,33
2019-09-02,//da-announcement,10,1,20,204
2019-09-02,/about,2,1,14.285714285714285,259
2019-09-02,/courses,3,2,14.285714285714285,213
2019-09-02,/courses,4,5,100,0
2019-09-02,/blog,6,1,100,0
2019-09-02,/courses,7,1,16.666666666666664,311
2019-09-02,//da-announcement,1,1,100,0
2019-09-02,//da-announcement,2,2,33.33333333333333,39
2019-09-02,/courses,4,1,25,54
2019-09-02,/courses,8,2,100,0
2019-09-02,/courses,9,1,16.666666666666664,174
2019-09-02,/about,1,2,100,0
2019-09-02,/courses,2,1,16.666666666666664,168
2019-09-02,/courses,3,2,100,0
2019-09-02,/courses,4,1,100,0
2019-09-02,/blog,5,1,100,0
2019-09-02,/courses,6,1,33.33333333333333,16
2019-09-02,/courses,4,1,50,7
2019-09-02,/courses,3,1,11.11111111111111,202
2019-09-02,/courses,7,1,25,70
2019-09-02,/courses,9,1,33.33333333333333,86
2019-09-02,/courses,2,1,20,351
2019-09-02,/courses,3,2,14.285714285714285,262
2019-09-02,/courses,4,1,50,10
2019-09-02,/blog,6,1,100,0
2019-09-02,/courses,9,1,33.33333333333333,32
2019-09-02,/courses,1,1,7.142857142857142,2428
2019-09-02,/courses,10,1,8.333333333333332,2113
2019-09-02,/digital-careers,2,1,100,0
2019-09-02,/courses,3,20,100,0
2019-09-02,/blog,6,7,100,0
2019-09-02,/courses,11,1,33.33333333333333,111
2019-09-02,/about,5,1,33.33333333333333,24
2019-09-02,/edinburgh,6,2,100,0
2019-09-02,/about,1,5,100,0
2019-09-02,/courses,2,3,100,0
2019-09-02,/about,3,4,100,0
2019-09-02,/courses,5,2,20,104
2019-09-02,/courses,2,1,20,254
2019-09-02,/courses,4,1,25,1230
2019-09-02,/courses,6,4,33.33333333333333,45
2019-09-02,/courses,21,1,25,116
2019-09-02,/for-employers,1,1,100,0
2019-09-02,/events,15,1,100,0
2019-09-02,/glasgow,4,1,100,0
2019-09-02,/for-employers,5,1,14.285714285714285,227
2019-09-02,/courses,6,2,16.666666666666664,286.5
2019-09-02,/courses,7,1,33.33333333333333,24
2019-09-02,/edinburgh,1,1,20,44
2019-09-02,/pre-course-work,1,2,50,386.5
2019-09-02,/blog,1,1,100,0
2019-09-02,/courses,2,1,100,0
2019-09-02,/courses,21,1,100,0
2019-09-02,/about,1,1,16.666666666666664,99
2019-09-02,/events,3,1,20,91
2019-09-02,//da-announcement,5,1,12.5,135
2019-09-02,/courses,3,3,33.33333333333333,143.33333333333334
2019-09-02,/about,4,1,50,14
2019-09-02,//da-announcement,6,1,100,0
2019-09-02,/blog,2,1,100,0
2019-09-02,/blog,9,1,50,163
2019-09-02,/blog,1,2,100,0
2019-09-02,//da-announcement,11,2,25,188.5
2019-09-02,/admissions-track,2,2,50,28
2019-09-02,/blog,3,6,100,0
2019-09-02,//da-announcement,5,1,16.666666666666664,89
2019-09-02,/admissions-track,7,1,100,0
